,full_text,weekday,month,day,hour,has_hashtag,has_url,like_count,is_reply,retweet_count,followers,following,user,screen_name
26,RT @RemcoStoep: Seen a Dutch #EP2019 exit poll - it has gains for social democrats and #Greens and no net gains for the populists on the ri…,Thu,May,23,20,1,0,0,0,1,383,459,Emma Chan,emmabelle_chan
27,#EUelections2019 A #LibDems win with #BrixitParty coming a close 2nd. Conservatives a poor 3rd and a disastrous #LabourParty 4th and the #Greens 5th. With a  disgracefully poor turn out too!  What an absolute embarrassment for #UK politics,Thu,May,23,20,1,0,0,0,0,0,5,Nomaxone,Nomaxone
28,"RT @SkaKeller: The #EUelections2019 are #ClimateElections. Young people around the world are taking action, demanding climate justice.

As…",Thu,May,23,20,1,0,0,0,34,532,2089,St. Technotrend 🇪🇺,st_technotrend
29,"Appena votato/ just cast my vote 👍🏻👍🏻👍🏻👍🏻
#EuropeanElections2019 
#bristol #StopBrexit #RevokeA50 
#greens",Thu,May,23,20,1,0,0,0,0,381,1114,Edoardo Righetti 🇮🇹🇸🇪🇶🇦🇸🇩🇬🇧🇫🇷🇹🇭,EdoardoR
30,"RT @SkaKeller: The #EUelections2019 are #ClimateElections. Young people around the world are taking action, demanding climate justice.

As…",Thu,May,23,20,1,0,0,0,34,525,654,Antonio Rescalvo,antoniorescalvo
31,"RT @SkaKeller: The #EUelections2019 are #ClimateElections. Young people around the world are taking action, demanding climate justice.

As…",Thu,May,23,20,1,0,0,0,34,355,620,IdPA_Sevilla ciudad,Iniciativa_SVQ
32,"RT @SkaKeller: The #EUelections2019 are #ClimateElections. Young people around the world are taking action, demanding climate justice.

As…",Thu,May,23,20,1,0,0,0,34,235,850,Glesi.org 🇪🇺,Glesi6
33,"RT @KalkaOsman: About to vote for our brilliant #Greens for my fellow ex-ward cllr @MagicMagid 💚💚💚
#VoteMAGID #EUelections2019 #ChooseHope…",Thu,May,23,20,1,0,0,0,19,283,63,Magid4MP👊🏾💚,Magid4MP
34,"https://t.co/jJZ3rZsMzr #Brexit #Nexit #EUelections2019 #Europeennes2019 

Dutch election poll:  #Greens and #Labour expected to gain #EU seats",Thu,May,23,20,1,1,0,0,0,330,780,The Global Spring,TheGlobalSpring
35,"RT @SkaKeller: The #EUelections2019 are #ClimateElections. Young people around the world are taking action, demanding climate justice.

As…",Thu,May,23,20,1,0,0,0,34,497,1327,mymission2030 🇪🇺,mymission2030
36,"RT @SkaKeller: The #EUelections2019 are #ClimateElections. Young people around the world are taking action, demanding climate justice.

As…",Thu,May,23,19,1,0,0,0,34,1939,5002,@PFLab 🚀 🇪🇺,PFLab
37,"RT @HulbertMathew: Very best wishes to one of my very favourite politicians, the brilliant leader of @allianceparty, @naomi_long!
She'd mak…",Thu,May,23,19,0,0,0,0,5,40588,636,Naomi4Europe🇪🇺,naomi_long
38,"RT @SkaKeller: The #EUelections2019 are #ClimateElections. Young people around the world are taking action, demanding climate justice.

As…",Thu,May,23,19,1,0,0,0,34,683,1707,Greenstorm2030 🇪🇺,greenstorm2030
39,"RT @SkaKeller: The #EUelections2019 are #ClimateElections. Young people around the world are taking action, demanding climate justice.

As…",Thu,May,23,19,1,0,0,0,34,1365,5002,Exit Oil 🌍🇪🇺,ExitOILExitOEL
40,"RT @HulbertMathew: Very best wishes to one of my very favourite politicians, the brilliant leader of @allianceparty, @naomi_long!
She'd mak…",Thu,May,23,19,0,0,0,0,5,1265,1477,Kazwoot  #FBPE #NHSLove #FPHD,fluidfox9
41,"RT @HulbertMathew: Very best wishes to one of my very favourite politicians, the brilliant leader of @allianceparty, @naomi_long!
She'd mak…",Thu,May,23,19,0,0,0,0,5,14335,15770,Trevor Stables 🔶️#FBPE🇬🇧🇫🇷🇪🇺 🔶️,trevdick
42,British PM Theresa May to step down on Friday amid cabinet revolt over #Brexit plan - report https://t.co/KrDF0hnsmb… … #TheresaMay #AndreaLeadsom #EuropeanParliamentelections #EUElection #EU2019 #EP2019⁠ ⁠ #EPP #UKIP #Brexitparty https://t.co/e75uAxz8zO,Thu,May,23,19,1,1,0,0,0,874,1442,Antoinet Van Dalen,antoinetvdalen
43,"I have a feeling that the silent majority will make their voice heard in the #EUelections2019 
#remain
#StopBrexit 
#LibDems 
#Greens 
#SNP 
#ChangeUK 
#plaidcymru",Thu,May,23,19,1,0,1,0,0,1282,1795,Pete 🔶#FBPE #BolloxToBrexit,Lurchtheperch
44,"Very best wishes to one of my very favourite politicians, the brilliant leader of @allianceparty, @naomi_long!
She'd make an awesome MEP.
If you're an NI voter, vote Long No.1!
#VoteAlliance #VoteLONG1 #EUElections2019 #ALDE",Thu,May,23,19,1,0,42,0,5,3082,5001,Mathew Hulbert,HulbertMathew
45,"RT @SkaKeller: The #EUelections2019 are #ClimateElections. Young people around the world are taking action, demanding climate justice.

As…",Thu,May,23,19,1,0,0,0,34,236,808,Andrea Heck :-),EnergiewendeNOW
46,RT @AnonsWorldwide: #copyrightdirective #EPP #SD #ALDE passed violates existing #EU privacy laws as well as GDPR that says collecting perso…,Thu,May,23,19,1,0,0,0,25,313,307,Cosasdesolohoy,cosasdemanana
47,"Seen a Dutch #EP2019 exit poll - it has gains for social democrats and #Greens and no net gains for the populists on the right.

#VoteGreen2019",Thu,May,23,19,1,0,5,0,1,273,242,Remco van der Stoep,RemcoStoep
48,RT @AnonsWorldwide: #copyrightdirective #EPP #SD #ALDE passed violates existing #EU privacy laws as well as GDPR that says collecting perso…,Thu,May,23,19,1,0,0,0,25,5572,4899,Raymond Johansen,RayJoha2
49,"RT @SkaKeller: The #EUelections2019 are #ClimateElections. Young people around the world are taking action, demanding climate justice.

As…",Thu,May,23,19,1,0,0,0,34,64,237,Stefano Luciani,lemoste
50,RT @MikeShaugh: Do the Local Elections Results Show the Greens Have Finally Shaken Off Corbynism? https://t.co/Qt47lXYod6 #green #greens #l…,Thu,May,23,19,1,1,0,0,1,237,237,Mike Shaughnessy,MikeShaugh
51,"RT @KalkaOsman: About to vote for our brilliant #Greens for my fellow ex-ward cllr @MagicMagid 💚💚💚
#VoteMAGID #EUelections2019 #ChooseHope…",Thu,May,23,18,1,0,0,0,19,307,763,c,larlylaa
52,"RT @KalkaOsman: About to vote for our brilliant #Greens for my fellow ex-ward cllr @MagicMagid 💚💚💚
#VoteMAGID #EUelections2019 #ChooseHope…",Thu,May,23,18,1,0,0,0,19,35,45,Stuart jones,59stuartjones
53,RT @AnonsWorldwide: #copyrightdirective #EPP #SD #ALDE passed violates existing #EU privacy laws as well as GDPR that says collecting perso…,Thu,May,23,18,1,0,0,0,25,2283,36,✯̶͕͎͉̭̜͈̙͚̊̂̽子猫㌁ ⋆ ˡˡᵃⁿᵒⁿʸⁿᵃⁱˢˡˡ ⋆ ♏︎,IIAnaisII
54,"RT @SkaKeller: The #EUelections2019 are #ClimateElections. Young people around the world are taking action, demanding climate justice.

As…",Thu,May,23,18,1,0,0,0,34,1014,2560,Ursula Helsky-Lehtola,UrsulaHelsky
